id,label,genres,main_genre,rating_count,avg_rating,engagement_norm
356,Forrest Gump (1994),Comedy|Drama|Romance|War,Comedy,329,4.164,1.0
318,"Shawshank Redemption, The (1994)",Crime|Drama,Crime,317,4.429,0.9547169811320755
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,Comedy,307,4.197,0.9169811320754717
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,Crime,279,4.161,0.8113207547169812
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,Action,278,4.192,0.8075471698113208
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Action,251,4.231,0.7056603773584905
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,Action,238,3.75,0.6566037735849056
110,Braveheart (1995),Action|Drama|War,Action,237,4.032,0.6528301886792452
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,Action,224,3.971,0.6037735849056604
527,Schindler's List (1993),Drama|War,Drama,220,4.225,0.5886792452830188
2959,Fight Club (1999),Action|Crime|Drama|Thriller,Action,218,4.273,0.5811320754716981
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure,215,3.921,0.569811320754717
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,Action,211,4.216,0.5547169811320755
2858,American Beauty (1999),Drama|Romance,Drama,204,4.056,0.5283018867924528
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Crime,204,4.238,0.5283018867924528
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Mystery,203,3.975,0.5245283018867924
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,Action,202,3.446,0.5207547169811321
150,Apollo 13 (1995),Adventure|Drama|IMAX,Adventure,201,3.846,0.5169811320754717
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,Action,200,4.208,0.5132075471698113
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,Adventure,198,4.106,0.5056603773584906
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,Action,196,4.138,0.4981132075471698
858,"Godfather, The (1972)",Crime|Drama,Crime,192,4.289,0.4830188679245283
457,"Fugitive, The (1993)",Thriller,Thriller,190,3.992,0.47547169811320755
592,Batman (1989),Action|Crime|Thriller,Action,189,3.429,0.4716981132075472
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,Adventure,188,4.021,0.4679245283018868
2028,Saving Private Ryan (1998),Action|Drama|War,Action,188,4.146,0.4679245283018868
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,Action,185,4.119,0.45660377358490567
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,Adventure,183,3.792,0.4490566037735849
608,Fargo (1996),Comedy|Crime|Drama|Thriller,Comedy,181,4.116,0.44150943396226416
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,Drama,179,3.894,0.4339622641509434
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,Action,178,3.497,0.43018867924528303
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Mystery,177,3.983,0.42641509433962266
